Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
جوهرة التيس,Jawhara Tiss,421,Female,1985,Professor,Post Secondary,Tatouine,1,Constituent Assembly, تطاوين,Tataouine,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
علي فارس,Ali Fares,422,Male,1973,,Post Secondary,Tatouine,1,Constituent Assembly, تطاوين,Tataouine,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سعد بو عيش,Saad Bouich,423,Male,1971,Lawyer,Post Secondary,Tatouine,1,Constituent Assembly, تطاوين,Tataouine,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,حزب الأمان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
البشير شمام,Bechir Chemam,424,Male,1961,Professor,Post Secondary,Kebili,1,Constituent Assembly,قبلي ,Kebili,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منية القصري,Monia Kasri,425,Female,1970,Engineer,Post Secondary,Kebili,1,Constituent Assembly,قبلي ,Kebili,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عمر الشتوي,Amor Chetoui,426,Male,1957,Lawyer,Post Secondary,Kebili,1,Constituent Assembly,قبلي ,Kebili,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسناء مرسيط,Hasna Marsit,427,Female,1948,Teacher,Post Secondary,Kebili,1,Constituent Assembly,قبلي ,Kebili,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,,مستقل,Independent,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
إبراهيم القصاص,Ibrahim Kassas,428,Male,1965,Driver,Middle School,Kebili,1,Constituent Assembly,قبلي ,Kebili,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",,مستقل,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عامر العريض,Amer Larayedh,429,Male,1965,Professor,Post Secondary,Medenine,1,Constituent Assembly,فرنسا 1,France 1,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عامر العريض,Amer Larayedh,429,Male,1965,Professor,Post Secondary,Medenine,1,Assembly of the Representatives of the People,مدنين ,Medenine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عامر العريض,Amer Larayedh,429,Male,1965,Professor,Post Secondary,Medenine,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محرزية العبيدى,Meherzia Labidi,430,Female,1963,Translator,Post Secondary,Nabeul,1,Constituent Assembly,فرنسا 1,France 1,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محرزية العبيدى,Meherzia Laabidi,430,Female,1963,Translator,Post Secondary,Nabeul,1,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محرزية العبيدى,Meherzia Laabidi,430,Female,1963,Translator,Post Secondary,Nabeul,1,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2019-2024,2019-2020,0,حركة النهضة,Mouvement Ennahdha,2019-2020,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عماد الدائمى,Imed Daimi,431,Male,1970,Engineer,Post Secondary,Medenine,1,Constituent Assembly,فرنسا 1,France 1,2011-2014,2011,0,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عماد الدائمى,Imed Daimi,431,Male,1970,Engineer,Post Secondary,Medenine,1,Assembly of the Representatives of the People,مدنين ,Medenine,2014-2019,2014-2019,1,الموتمر من أجل الجمهورية,Congres Pour La Republicque,2014-2015,حراك تونس الإرادة,Parti Du Mouvement,2015-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بشير النفزي,Bechir Nefzi,432,Male,1981,Professor,Post Secondary,,0,Constituent Assembly,فرنسا 1,France 1,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سليم بن عبد السلام,Selim Ben Abdesselem,433,Male,1970,Lawyer,Post Secondary,Tunis,1,Constituent Assembly,فرنسا 1,France 1,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2012,مستقل,Independent,2012,حركة نداء تونس,Mouvement Nidaa Tounes,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نادية شعبان,Nadia Chaabane,434,Female,1965,Human Rights Activist,Post Secondary,Nabeul,1,Constituent Assembly,فرنسا 1,France 1,2011-2014,2011-2014,1,القطب الديمقراطي الحداثي,Pole Democratique Moderniste,2011-2012,المسار الديمقراطي الاجتماعي,Voie Democratique Et Sociale,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ناجي الجمل,Neji Jmal,435,Male,1966,Principal,Post Secondary,Sousse,1,Constituent Assembly,فرنسا 2,France 2,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ناجى الجمل,Neji Jmal,435,Male,1966,Principal,Post Secondary,Sousse,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ناجي الجمل,Neji Jmal,435,Male,1966,Principal,Post Secondary,Sousse,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
دليلة الببة,Dalila Babba,436,Female,1965,Lawyer,Post Secondary,Sousse,1,Constituent Assembly,فرنسا 2,France 2,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
دليلة الببة,Dalila Babba,436,Female,1965,Lawyer,Post Secondary,Sousse,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الهادي بن عباس,Hedi Ben Abbess,437,Male,,,,,1,Constituent Assembly,فرنسا 2,France 2,2011-2014,2011-2012,0,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نورة بن حسن,Noura Ben Hassen,438,Female,1980,Professor,Post Secondary,Sousse,0,Constituent Assembly,فرنسا 2,France 2,2011-2014,2012-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2012-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كريمة سويد,Karima Souid,439,Female,1971,Business Manager,Post Secondary,France,1,Constituent Assembly,فرنسا 2,France 2,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2013,المسار الديمقراطي الاجتماعي,Voie Democratique Et Sociale,2013-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الماي,Mahmoud El May,440,Male,1958,Engineer,Post Secondary,Tunis,1,Constituent Assembly,فرنسا 2,France 2,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أسامة الصغير,Oussama Sghaier,441,Male,1983,Human Rights Activist,Post Secondary,Tunis,1,Constituent Assembly,إيطاليا,Italie,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 أسامة علية الصغير,Oussama Sghaier,441,Male,1983,Human Rights Activist,Post Secondary,Tunis,1,Assembly of the Representatives of the People,إيطاليا,Italie,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
اسامة علية الصغير,Oussama Sghaier,441,Male,1983,Human Rights Activist,Post Secondary,Tunis,1,Assembly of the Representatives of the People,إيطاليا,Italie,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
إيمان بن محمد,Imen Ben Mhamed,442,Female,1984,Student,Post Secondary,Kebili,1,Constituent Assembly,إيطاليا,Italie,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 ايمان بن محمد,Imen Ben Mhamed,442,Female,1984,Student,Post Secondary,Kebili,1,Assembly of the Representatives of the People,إيطاليا,Italie,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الستار الضيفي,Abdessattar Dhifi,443,Male,1981,Business Administration,Post Secondary,Tunis,1,Constituent Assembly,إيطاليا,Italie,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",,صوت شعب تونس,La Voix Du Peuple Tunisien,2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فتحي العيادي,Fathi Ayadi,444,Male,1963,Teacher,Post Secondary,Sfax,1,Constituent Assembly,ألمانيا,Allemagne,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فتحى العيادى,Fathi Ayadi,444,Male,1963,Teacher,Post Secondary,Sfax,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فتحي العيادي,Fathi Ayadi,444,Male,1963,Teacher,Post Secondary,Sfax,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد زريق,Mohamed Zrig,445,Male,1957,Chemist,Post Secondary,,0,Constituent Assembly,القارة الأمريكية وبقية الدول الأوروبية,Amerique et Reste de L'Europe,2011-2014,2013-2014,1,حركة النهضة,Mouvement Ennahdha,2013-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد زريق,Mohamed Zrig,445,Male,1957,Chemist,Post Secondary,,1,Assembly of the Representatives of the People,قابس,Gabes,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد زريق,Mohamed Zrig,445,Male,1957,Chemist,Post Secondary,,1,Assembly of the Representatives of the People,قابس,Gabes,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فردوس الوسلاتي,Firdaous Oueslati,446,Female,,,,,1,Constituent Assembly,القارة الأمريكية وبقية الدول الأوروبية,Amerique et Reste de L'Europe,2011-2014,2011-2013,0,حركة النهضة,Mouvement Ennahdha,2011-2013,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مبروكة مبارك,Mabrouka Mbarek,447,Female,1980,Human Rights Activist,Post Secondary,Sfax,1,Constituent Assembly,القارة الأمريكية وبقية الدول الأوروبية,Amerique et Reste de L'Europe,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كمال بن عمارة,Kamel Ben Amara,448,Male,1959,Professor,Post Secondary,Bizerte,1,Constituent Assembly,الدول العربية وبقية دول العالم,Pays Arabes et Reste du Monde,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
إقبال المصدع,Ikbel Msadaa,449,Female,1984,Professor,Post Secondary,Bizerte,1,Constituent Assembly,الدول العربية وبقية دول العالم,Pays Arabes et Reste du Monde,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كريم الهلالى,Karim Helali,450,Male,1969,Magistrate,Post Secondary,Ariana,1,Assembly of the Representatives of the People, أريانة,Ariana,2014-2019,2014-2019,1,أفاق تونس,Afek Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد غنام,Mohamed Ghannem,451,Male,1955,Doctor,Post Secondary,Kairouan,1,Assembly of the Representatives of the People,فرنسا 1,France 1,2014-2019,2014-2019,1,أفاق تونس,Afek Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
على بنور,Ali Bennour,452,Male,1953,Actor,Post Secondary,Monastir,1,Assembly of the Representatives of the People,المنستير,Monastir,2014-2019,2014-2019,1,أفاق تونس,Afek Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد أنور العذار,Mohamed Anouar Adhar,453,Male,1958,Engineer,Post Secondary,Sfax,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2014-2019,2014-2019,1,أفاق تونس,Afek Tounes,2014-2018,مستقل,Independent,2018-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حافظ الزواري,Hafedh Zouari,454,Male,1962,Entrepreneur ,,Sousse,1,Assembly of the Representatives of the People,سوسة,Sousse,2014-2019,2014-2019,1,أفاق تونس,Afek Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حافظ الزواري,Hafedh Zouari,454,Male,1962,Entrepreneur ,,Sousse,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,حزب البديل التونسي,Al Badil Ettounsi,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
صبرى الدخيل,Sabri Dekhil,455,Male,1967,Doctor,Post Secondary,,1,Assembly of the Representatives of the People,قابس,Gabes,2014-2019,2014-2019,1,الموتمر من أجل الجمهورية,Congres Pour La Republicque,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ابراهيم بن سعيد,Ibrahim Ben Said,456,Male,1973,Principal,Post Secondary,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2014-2019,2014-2019,1,الموتمر من أجل الجمهورية,Congres Pour La Republicque,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
غازى الشواشى,Ghazi Chaouachi,457,Male,1962,Lawyer,Post Secondary,Tunis,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2014-2019,1,حزب التيار الديمقراطي,Courant Democrate,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
غازى الشواشى,Ghazi Chaouachi,457,Male,1962,Lawyer,Post Secondary,Tunis,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2019-2024,2019-2020,0,حزب التيار الديمقراطي,Courant Democrate,2019-2020,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 نعمان العش,Noomane El Euch,458,Male,1967,Bookseller ,,,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2014-2019,2014-2019,1,حزب التيار الديمقراطي,Courant Democrate,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نعمان العش,Noomane El Euch,458,Male,1967,Bookseller ,,,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زياد الاخضر,Zied Lakhdhar,459,Male,1962,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عمار عمروسية,Ammar Amroussia,460,Male,1960,Teacher,Post Secondary,Gafsa,1,Assembly of the Representatives of the People,قفصة,Gafsa,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
طارق براق,Tarek Barrak,461,Male,1953,,,,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أيمن علوى,Aymen Aloui,462,Male,1981,Financial Manager,,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 نزار عمامى,Nizar Amami,463,Male,1961,Financial Manager,Post Secondary,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مراد حمايدى,Mourad Hamaidi ,464,Male,1971,Lawyer,Post Secondary,Le Kef,1,Assembly of the Representatives of the People,الكاف,Le Kef,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هيكل بلقاسم,Haykel Belgacem,465,Male,1972,,,,1,Assembly of the Representatives of the People,المهدية,Mahdia,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد المومن بلعانس,Abdelmoumen Belanes,466,Male,1955,,,,1,Assembly of the Representatives of the People,المنستير,Monastir,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فتحى الشامخى,Fathi Chamkhi,467,Male,1954,Professor,Post Secondary,,1,Assembly of the Representatives of the People,نابل 2,Nabeul 2,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 شفيق العيادى,Chafik Ayadi,468,Male,1956,Teacher,Post Secondary,Sfax,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سعاد البيولى,Souad Bayouli,469,Female,1964,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مباركة عواينية,Mbarka Aouania,470,Female,1967,Teacher,Post Secondary,Sidi Bouzid,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 الجيلانى همامى,Jilani Hammami,471,Male,1957,Civil Servant in a Company,,,1,Assembly of the Representatives of the People, سليانة,Siliana,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد الصديق,Ahmed Seddik,472,Male,1963,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2014-2019,2014-2019,1,الجبهة الشعبية,Front Populaire,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فيصل التبينى,Faycel Tebini,473,Male,1965,Customs Agent,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2014-2019,2014-2019,1,صوت الفلاحين,Parti De La Voix Des Agriculteurs,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فيصل التبينى,Faycel Tebini,473,Male,1965,Customs Agent,,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2019-2024,2019-,,صوت الفلاحين,Parti De La Voix Des Agriculteurs,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 رياض جعيدان,Riadh Jaidane,474,Male,1971,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2014-2019,2014-2019,1,القائمة المستقلة نداء التونسيين بالخارج,La Liste Independante Fait Appel Aux Tunisiens de L'Etranger,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبدالرزاق شريط,Abderrazak Chraiet,475,Male,1936,CEO of a company,Post Secondary,,0,Assembly of the Representatives of the People,توزر,Tozeur,2014-2019,2014-2019,1,القائمة المستقلة نداء الجريد,Liste  Independante Majd al Jarid,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عدنان الحاجى,Adnane Hajji,476,Male,1958,Trade Unionist,,Gafsa,1,Assembly of the Representatives of the People,قفصة,Gafsa,2014-2019,2014-2019,1,القائمة المستقلة رد الاعتبار,Liste Independante Rad El Itibar,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 رضا الدلالى,Ridha Dellai,477,Male,1962,Teacher,Post Secondary,,1,Assembly of the Representatives of the People, باجة,Beja,2014-2019,2014-2019,1,حركة الشعب,Mouvement Du Peuple,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رضا الدلاعي,Ridha Dellai,477,Male,1962,Teacher,Post Secondary,,1,Assembly of the Representatives of the People, باجة,Beja,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زهير المغزاوى,Zouhair Maghzaoui,478,Male,1965,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2014-2019,2014-2019,1,حركة الشعب,Mouvement Du Peuple,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زهير المغزاوي,Zouhair Maghzaoui,478,Male,1965,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سالم الابيض,Salem Labiadh,479,Male,1963,Professor,Post Secondary,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2014-2019,2014-2019,1,حركة الشعب,Mouvement Du Peuple,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سالم الابيض,Salem Labiadh,479,Male,1963,Professor,Post Secondary,,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,حركة الشعب ,Mouvement Du Peuple,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 رمزى بن فرج,Ramzi Ben Fraj,480,Male,1968,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People,القارة الأمريكية وبقية الدول الأوروبية,Amerique et Reste de L'Europe,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 جميلة دبش حرم كسيكسى,Jamila Debbech,481,Female,1968,Bureaucrat (National Insurance Fund),Post Secondary,Medenine,1,Assembly of the Representatives of the People, أريانة,Ariana,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جميلة دبش حرم كسيكسي,Jamila Debbech,481,Female,1968,Bureaucrat (National Insurance Fund),Post Secondary,Medenine,1,Assembly of the Representatives of the People, أريانة,Ariana,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سامى الفطناسى,Sami Fetnassi,482,Male,1964,Banker,Post Secondary,Beja,1,Assembly of the Representatives of the People, باجة,Beja,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 محمد المحجوب,Mohamed Mahjoub,483,Male,1956,Doctor,Post Secondary,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 آمنة بن حميد ,Emna Ben Hmayed,484,Female,1980,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
