Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
طارق الشعبوني,Tarak Chaabouni,30,Male,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,حركة التجديد,Mouvement Ettajdid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حسن ليتيم,Hassan Litim,31,Male,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سميرة الشواشي,Samira Chaouachi,32,Female,,Teacher,Post Secondary,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,حزب الوحدة الشعبية,Parti de l'Unite Populaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سميرة الشواشي,Samira Chaouachi,32,Female,,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محسن عون,Mohsen Ouan,33,Male,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,الحزب الاجتماعي التحرري,Parti Social-Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
أحمد الغندور,Ahmed Ghandour,34,Male,,,,,1,Chamber of Deputies, أريانة,Ariana,2009-2011,,,الاتحاد الديمقراطي الوحدوي,Union Democratique Unioniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
علي سلامة,Ali Slama,35,Male,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صالح الطبرقي,Salah Tabarki,36,Male,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ريم دريوش الشواشي,Rim Driouche Chouachi,37,Female,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد السويح,Mohamed Souayah,38,Male,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مصطفى المديني,Mustapha Madini,39,Male,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
زينب بن حسين,Zeineb Ben Hasine,40,Female,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نوال الهميسي,Naoual Hmisi,41,Female,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,الاتحاد الديمقراطي الوحدوي,Union Democratique Unioniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عيشة بن سعيد الخماسي     ,Aicha Ben Khamasi,42,Female,,,,,1,Chamber of Deputies,منوبة,La Manouba,2009-2011,,,حزب الخضر للتقدم,Parti Des Verts Pour Le Progres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الناصر الغربي,Naceur El Gharbi,43,Male,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد اللّه العبعاب,Abdallah Abab,44,Male,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
زهرة دريرة حرم المحيرصي   ,Zahra Mhirsi,45,Female,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الطاهر شنقل,Tahar Ghanguel,46,Male,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
يوسف بن الآغا,Youssef Ben Agha,47,Male,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سعاد الشرقي حرم بن عامر     ,Souad Chergui Ben Ammar,48,Female,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هند العلاني حرم الصرارفي     ,Hinda Essrarfi Alani,49,Female,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد المجيد بلحاج يحيى          ,Abdallah Majid Belhaj Yahia,50,Male,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عواطف بوغنيم,Aouatef Boughnim,51,Female,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد المنجي كتلان,Mohamed Monji Ketlane,52,Male,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
فاتن الشرقاوي,Faten Echarkaoui,53,Male,,,,,1,Chamber of Deputies,بن عروس,Ben Arous,2009-2011,,,حزب الخضر للتقدم,Parti Des Verts Pour Le Progres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد شرف الدين قلوز ,Charfeddine Guellouz,54,Male,1947,Minister (Housing),,Bizerte,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سعيد الطاهر لسود,Said Tahar Lassoued,55,Male,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
سنية القابسي,Sonia Gabsi,56,Female,,,,,1,Chamber of Deputies,بنزرت,Bizerte,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
